,Country,UGS,GDP per Capita,Score,GDP Rank
26,Ireland,4.36,100172.079253421,7.094,1.0
13,Switzerland,4.98,91991.6004583563,7.56,1.0
51,Singapore,2.87,72794.0030226738,6.377,1.0
10,United States,5.13,70248.6290002242,6.94,1.0
1,Iceland,5.47,68727.636664709,7.504,1.0
40,Denmark,3.89,68007.7566732954,7.646,1.0
12,Sweden,5.0,61028.7380600287,7.353,1.0
23,Australia,4.69,60443.1091649968,7.223,1.0
24,Netherlands,4.52,57767.8788108173,7.449,1.0
0,Finland,5.73,53654.7502964259,7.809,1.0
33,Austria,4.11,53637.7057109897,7.294,1.0
53,Israel,2.65,52170.7118623335,7.129,1.0
15,Canada,4.96,51987.9390529728,7.232,1.0
39,Belgium,3.91,51247.0143531626,6.864,1.0
18,Germany,4.79,51203.5544731043,7.076,1.0
3,New Zealand,5.33,48781.0266328884,7.3,1.0
27,United Kingdom,4.28,46510.2827819127,7.165,1.0
54,United Arab Emirates,2.23,44315.5541834116,6.791,1.0
42,France,3.72,43658.9789781222,6.664,1.0
49,Japan,3.03,39312.6603730693,5.871,1.0
7,Italy,5.17,35657.4975631691,6.387,1.0
47,Malta,3.17,33486.671983855,6.773,1.0
30,Spain,4.15,30103.513733191,6.401,1.0
4,Slovenia,5.32,29291.4006234431,6.363,1.0
9,Estonia,5.15,27943.701219882,6.022,1.0
59,Bahrain,0.54,26562.9691354026,6.227,1.0
21,Portugal,4.72,24567.5092651,5.911,1.0
57,Kuwait,1.91,24300.32943621,6.102,1.0
2,Lithuania,5.46,23723.3402510345,6.215,1.0
55,Saudi Arabia,2.06,23185.8707917797,6.406,1.0
11,Latvia,5.05,21148.1629405415,5.95,1.0
46,Greece,3.28,20192.5963039061,5.515,1.0
19,Hungary,4.78,18728.1218948689,6.0,1.0
17,Poland,4.88,17999.9099495446,6.186,1.0
5,Croatia,5.23,17685.3252834553,5.505,1.0
48,Chile,3.05,16265.0959767147,6.228,1.0
28,Trinidad and Tobago,4.25,16032.5027680992,6.192,1.0
41,Romania,3.87,14858.2294290445,6.124,1.0
34,Panama,4.06,14617.6044816372,6.305,1.0
38,Costa Rica,3.93,12472.4437294954,7.121,1.0
22,Bulgaria,4.7,12221.4966064171,5.102,1.0
43,Malaysia,3.64,11109.2618387745,5.384,1.0
44,Argentina,3.33,10636.1201956183,5.975,1.0
35,Kazakhstan,4.06,10373.7897924367,6.058,1.0
6,Montenegro,5.21,9465.70399879557,5.546,1.0
16,Serbia,4.93,9230.17831602601,5.778,1.0
37,Mauritius,3.94,9106.23720230699,6.101,1.0
32,Belarus,4.12,7302.25779418774,5.54,1.0
36,Albania,4.06,6492.87201224634,4.883,1.0
