,London Borough,Population(2019 est),Poverty Rate,Code,Green Percentage
0,Barking and Dagenham,212906,0.29,E09000002,39.2
1,Barnet,395896,0.25,E09000003,57.99
2,Bexley,248287,0.29,E09000004,42.92
3,Brent,329771,0.36,E09000005,39.94
4,Bromley,332336,0.17,E09000006,68.36
5,Camden,270029,0.34,E09000007,43.28
6,Croydon,386710,0.23,E09000008,55.53
7,Ealing,341806,0.3,E09000009,43.96
8,Enfield,333794,0.34,E09000010,52.95
9,Greenwich,287942,0.24,E09000011,43.22
10,Hackney,281120,0.29,E09000012,38.79
11,Hammersmith and Fulham,185143,0.2,E09000013,27.6
12,Haringey,268647,0.35,E09000014,43.55
13,Harrow,251160,0.26,E09000015,55.42
14,Havering,259552,0.17,E09000016,65.98
15,Hillingdon,306870,0.24,E09000017,54.6
16,Hounslow,271523,0.29,E09000018,47.31
17,Islington,242467,0.22,E09000019,34.88
18,Kensington and Chelsea,156129,0.273,E09000020,30.37
19,Kingston upon Thames,177507,0.23,E09000021,52.42
20,Lambeth,326034,0.26,E09000022,32.91
21,Lewisham,305842,0.35,E09000023,40.25
22,Merton,206548,0.16,E09000024,48.78
23,Newham,353134,0.36,E09000025,30.64
24,Redbridge,305222,0.27,E09000026,53.56
25,Richmond upon Thames,198019,0.19,E09000027,61.99
26,Southwark,318830,0.26,E09000028,37.67
27,Sutton,206349,0.18,E09000029,49.69
28,Tower Hamlets,324745,0.39,E09000030,25.38
29,Waltham Forest,276983,0.27,E09000031,44.36
30,Wandsworth,329677,0.34,E09000032,39.01
31,Westminster,261317,0.36,,
